,Timestamp,temperature_scraped_F,wind_scraped_ms,temperature_scraped_C
0,2017-01-01 00:40:00,41,10.28,5.0
1,2017-01-01 01:10:00,43,9.39,6.1
2,2017-01-01 01:40:00,41,9.83,5.0
3,2017-01-01 02:10:00,39,7.15,3.9
4,2017-01-01 02:40:00,41,8.94,5.0
5,2017-01-01 03:10:00,41,9.39,5.0
6,2017-01-01 03:40:00,39,8.05,3.9
7,2017-01-01 04:10:00,41,8.94,5.0
8,2017-01-01 04:40:00,39,6.71,3.9
9,2017-01-01 05:10:00,41,11.18,5.0
10,2017-01-01 12:40:00,41,8.94,5.0
11,2017-01-01 13:10:00,45,11.62,7.2
12,2017-01-01 13:40:00,45,11.18,7.2
13,2017-01-01 14:10:00,43,11.18,6.1
14,2017-01-01 14:40:00,43,10.28,6.1
15,2017-01-01 15:10:00,43,10.73,6.1
16,2017-01-01 15:40:00,43,9.39,6.1
17,2017-01-01 16:10:00,43,9.83,6.1
18,2017-01-01 16:40:00,43,9.39,6.1
19,2017-01-01 17:10:00,41,5.81,5.0
20,2017-01-01 17:40:00,41,5.81,5.0
21,2017-01-01 18:10:00,41,6.71,5.0
22,2017-01-01 18:40:00,41,6.26,5.0
23,2017-01-01 19:10:00,41,6.26,5.0
24,2017-01-01 19:40:00,41,6.71,5.0
25,2017-01-01 20:10:00,39,6.26,3.9
26,2017-01-01 20:40:00,41,7.15,5.0
27,2017-01-01 21:10:00,41,6.26,5.0
28,2017-01-01 21:40:00,39,4.47,3.9
29,2017-01-01 22:10:00,39,7.6,3.9
30,2017-01-01 22:40:00,37,4.47,2.8
31,2017-01-01 23:10:00,37,4.02,2.8
32,2017-01-01 23:40:00,37,3.13,2.8
33,2017-01-02 00:10:00,39,6.71,3.9
34,2017-01-02 00:40:00,37,4.02,2.8
35,2017-01-02 01:10:00,37,3.58,2.8
36,2017-01-02 01:40:00,37,4.47,2.8
37,2017-01-02 02:10:00,39,3.58,3.9
38,2017-01-02 02:40:00,39,4.02,3.9
39,2017-01-02 03:10:00,39,5.81,3.9
40,2017-01-02 03:40:00,39,5.36,3.9
41,2017-01-02 04:10:00,39,6.71,3.9
42,2017-01-02 04:40:00,39,4.02,3.9
43,2017-01-02 05:10:00,39,4.02,3.9
44,2017-01-02 05:40:00,39,4.02,3.9
45,2017-01-02 06:10:00,37,2.68,2.8
46,2017-01-02 06:40:00,39,4.47,3.9
47,2017-01-02 07:10:00,39,5.36,3.9
48,2017-01-02 07:40:00,39,5.81,3.9
49,2017-01-02 08:10:00,41,7.15,5.0
50,2017-01-02 08:40:00,41,5.81,5.0
51,2017-01-02 09:10:00,41,6.71,5.0
52,2017-01-02 09:40:00,41,5.81,5.0
53,2017-01-02 10:10:00,43,6.71,6.1
54,2017-01-02 10:40:00,43,5.36,6.1
55,2017-01-02 11:10:00,41,3.58,5.0
56,2017-01-02 11:40:00,43,4.47,6.1
57,2017-01-02 12:10:00,41,3.58,5.0
58,2017-01-02 12:40:00,43,3.13,6.1
59,2017-01-02 13:10:00,43,4.47,6.1
60,2017-01-02 13:40:00,43,5.36,6.1
61,2017-01-02 14:10:00,43,5.36,6.1
62,2017-01-02 14:40:00,43,5.36,6.1
63,2017-01-02 15:10:00,43,7.15,6.1
64,2017-01-02 15:40:00,43,3.58,6.1
65,2017-01-02 16:10:00,43,3.13,6.1
66,2017-01-02 16:40:00,45,5.36,7.2
67,2017-01-02 17:10:00,43,6.26,6.1
68,2017-01-02 17:40:00,43,3.58,6.1
69,2017-01-02 18:10:00,43,3.58,6.1
70,2017-01-02 18:40:00,43,6.71,6.1
71,2017-01-02 19:10:00,43,9.39,6.1
72,2017-01-02 19:40:00,43,8.94,6.1
73,2017-01-02 20:10:00,45,9.39,7.2
74,2017-01-02 20:40:00,45,9.83,7.2
75,2017-01-02 21:10:00,45,9.39,7.2
76,2017-01-02 21:40:00,45,8.94,7.2
77,2017-01-02 22:10:00,45,9.39,7.2
78,2017-01-02 22:40:00,45,11.62,7.2
79,2017-01-02 23:10:00,46,9.83,7.8
80,2017-01-02 23:40:00,46,11.62,7.8
81,2017-01-03 00:10:00,46,11.18,7.8
82,2017-01-03 00:40:00,46,10.73,7.8
83,2017-01-03 01:10:00,46,13.41,7.8
84,2017-01-03 01:40:00,46,12.96,7.8
85,2017-01-03 02:10:00,48,12.96,8.9
86,2017-01-03 02:40:00,48,13.41,8.9
87,2017-01-03 03:10:00,48,13.86,8.9
88,2017-01-03 03:40:00,48,13.86,8.9
89,2017-01-03 04:10:00,48,13.41,8.9
90,2017-01-03 04:40:00,48,13.41,8.9
91,2017-01-03 05:10:00,48,12.96,8.9
92,2017-01-03 05:40:00,48,13.86,8.9
93,2017-01-03 06:10:00,48,14.31,8.9
94,2017-01-03 06:40:00,48,13.41,8.9
95,2017-01-03 07:10:00,48,13.86,8.9
96,2017-01-03 07:40:00,48,14.31,8.9
97,2017-01-03 08:10:00,48,13.41,8.9
98,2017-01-03 08:40:00,48,13.41,8.9
99,2017-01-03 09:10:00,48,12.96,8.9
100,2017-01-03 09:40:00,48,11.62,8.9
101,2017-01-03 10:10:00,48,10.73,8.9
102,2017-01-03 10:40:00,48,12.52,8.9
103,2017-01-03 11:10:00,46,12.96,7.8
104,2017-01-03 11:40:00,48,11.18,8.9
105,2017-01-03 12:40:00,48,11.18,8.9
106,2017-01-03 13:10:00,46,11.18,7.8
107,2017-01-03 13:40:00,46,10.73,7.8
108,2017-01-03 14:10:00,46,10.73,7.8
109,2017-01-03 14:40:00,46,10.73,7.8
110,2017-01-03 15:10:00,46,10.28,7.8
111,2017-01-03 15:40:00,45,12.96,7.2
112,2017-01-03 16:10:00,45,9.83,7.2
113,2017-01-03 16:40:00,45,10.28,7.2
114,2017-01-03 17:10:00,45,8.05,7.2
115,2017-01-03 17:40:00,45,9.83,7.2
116,2017-01-03 18:10:00,43,12.52,6.1
117,2017-01-03 18:40:00,43,10.73,6.1
118,2017-01-03 19:10:00,43,9.83,6.1
119,2017-01-03 19:40:00,43,10.73,6.1
120,2017-01-03 20:10:00,43,11.18,6.1
121,2017-01-03 20:40:00,43,10.28,6.1
122,2017-01-03 21:10:00,43,10.28,6.1
123,2017-01-03 21:40:00,43,9.39,6.1
124,2017-01-03 22:10:00,41,9.83,5.0
125,2017-01-03 22:40:00,41,10.73,5.0
126,2017-01-03 23:10:00,41,9.83,5.0
127,2017-01-03 23:40:00,41,10.73,5.0
128,2017-01-04 00:10:00,41,9.39,5.0
129,2017-01-04 00:40:00,39,12.96,3.9
130,2017-01-04 01:10:00,41,12.52,5.0
131,2017-01-04 01:40:00,41,10.28,5.0
132,2017-01-04 02:10:00,39,9.39,3.9
133,2017-01-04 02:40:00,41,11.18,5.0
134,2017-01-04 03:10:00,41,11.18,5.0
135,2017-01-04 04:10:00,41,9.83,5.0
136,2017-01-04 04:40:00,41,11.18,5.0
137,2017-01-04 05:10:00,39,10.73,3.9
138,2017-01-04 05:40:00,41,12.52,5.0
139,2017-01-04 06:10:00,39,12.52,3.9
140,2017-01-04 06:40:00,39,11.62,3.9
141,2017-01-04 07:10:00,41,11.62,5.0
142,2017-01-04 07:40:00,41,11.18,5.0
143,2017-01-04 08:10:00,37,11.18,2.8
144,2017-01-04 08:40:00,39,10.73,3.9
145,2017-01-04 09:10:00,39,10.73,3.9
146,2017-01-04 09:40:00,39,9.39,3.9
147,2017-01-04 10:10:00,39,10.28,3.9
148,2017-01-04 10:40:00,39,10.73,3.9
149,2017-01-04 11:10:00,39,9.83,3.9
150,2017-01-04 11:40:00,39,9.39,3.9
151,2017-01-04 12:10:00,39,9.83,3.9
152,2017-01-04 12:40:00,39,9.39,3.9
153,2017-01-04 13:10:00,39,9.83,3.9
154,2017-01-04 13:40:00,39,9.83,3.9
155,2017-01-04 14:10:00,37,7.15,2.8
156,2017-01-04 14:40:00,39,9.39,3.9
157,2017-01-04 15:10:00,39,8.05,3.9
158,2017-01-04 15:40:00,39,8.94,3.9
159,2017-01-04 16:10:00,39,8.05,3.9
160,2017-01-04 16:40:00,39,6.71,3.9
161,2017-01-04 17:10:00,39,6.71,3.9
162,2017-01-04 17:40:00,39,7.6,3.9
163,2017-01-04 18:40:00,39,5.81,3.9
164,2017-01-04 19:10:00,39,4.02,3.9
165,2017-01-04 19:40:00,39,5.81,3.9
166,2017-01-04 20:10:00,39,4.02,3.9
167,2017-01-04 20:40:00,39,5.36,3.9
168,2017-01-04 21:10:00,39,4.47,3.9
169,2017-01-04 21:40:00,39,4.02,3.9
170,2017-01-04 22:10:00,39,4.02,3.9
171,2017-01-04 22:40:00,39,4.47,3.9
172,2017-01-04 23:10:00,39,2.68,3.9
173,2017-01-04 23:40:00,39,2.68,3.9
174,2017-01-05 00:10:00,37,1.34,2.8
175,2017-01-05 00:40:00,37,2.24,2.8
176,2017-01-05 01:10:00,37,2.68,2.8
177,2017-01-05 01:40:00,37,0.89,2.8
178,2017-01-05 02:10:00,37,1.34,2.8
179,2017-01-05 02:40:00,37,1.34,2.8
180,2017-01-05 03:10:00,37,0.89,2.8
181,2017-01-05 03:40:00,39,0.45,3.9
182,2017-01-05 04:10:00,37,2.24,2.8
183,2017-01-05 04:40:00,37,1.34,2.8
184,2017-01-05 05:10:00,37,0.45,2.8
185,2017-01-05 05:40:00,37,2.24,2.8
186,2017-01-05 06:10:00,39,2.24,3.9
187,2017-01-05 06:40:00,37,2.68,2.8
188,2017-01-05 07:10:00,37,1.34,2.8
189,2017-01-05 07:40:00,37,2.24,2.8
190,2017-01-05 08:10:00,39,3.58,3.9
191,2017-01-05 08:40:00,39,3.58,3.9
192,2017-01-05 09:10:00,39,2.68,3.9
193,2017-01-05 09:40:00,39,3.13,3.9
194,2017-01-05 10:10:00,39,5.81,3.9
195,2017-01-05 10:40:00,41,4.02,5.0
196,2017-01-05 11:10:00,41,4.02,5.0
197,2017-01-05 11:40:00,41,6.71,5.0
198,2017-01-05 12:10:00,41,8.05,5.0
199,2017-01-05 12:40:00,41,8.94,5.0
200,2017-01-05 13:10:00,41,8.94,5.0
201,2017-01-05 13:40:00,39,7.6,3.9
202,2017-01-05 14:10:00,39,6.26,3.9
203,2017-01-05 14:40:00,39,7.15,3.9
204,2017-01-05 15:10:00,39,6.71,3.9
205,2017-01-05 15:40:00,37,6.26,2.8
206,2017-01-05 16:10:00,37,5.36,2.8
207,2017-01-05 16:40:00,37,5.81,2.8
208,2017-01-05 17:10:00,39,8.05,3.9
209,2017-01-05 17:40:00,39,6.71,3.9
210,2017-01-05 18:10:00,39,6.26,3.9
211,2017-01-05 18:40:00,39,8.05,3.9
212,2017-01-05 19:10:00,39,8.05,3.9
213,2017-01-05 19:40:00,39,8.05,3.9
214,2017-01-05 20:10:00,39,7.6,3.9
215,2017-01-05 20:40:00,39,5.81,3.9
216,2017-01-05 21:10:00,39,7.15,3.9
217,2017-01-05 21:40:00,41,6.26,5.0
218,2017-01-05 22:10:00,41,7.15,5.0
219,2017-01-05 22:40:00,41,6.71,5.0
220,2017-01-05 23:10:00,43,6.26,6.1
221,2017-01-05 23:40:00,43,6.26,6.1
222,2017-01-06 00:10:00,43,8.05,6.1
223,2017-01-06 00:40:00,43,7.6,6.1
224,2017-01-06 01:10:00,43,7.15,6.1
225,2017-01-06 01:40:00,43,6.71,6.1
